iter	Passed	Remaining
1235	242777	739330
1236	242954	739075
1237	243147	738871
1238	243361	738726
1239	243542	738483
1240	243730	738261
1241	243903	737995
1242	244085	737756
1243	244256	737483
1244	244462	737314
1245	244669	737150
1246	244888	737022
1247	245155	737036
1248	245373	736906
1249	245580	736742
1250	245800	736614
1251	246063	736616
1252	246272	736459
1253	246464	736249
1254	246701	736173
1255	246889	735951
1256	247143	735924
1257	247390	735879
1258	247612	735757
1259	247830	735624
1260	248032	735441
1261	248231	735253
1262	248441	735095
1263	248673	735003
1264	248894	734879
1265	249105	734722
1266	249355	734682
1267	249577	734561
1268	249788	734404
1269	250047	734390
1270	250302	734365
1271	250551	734320
1272	250749	734125
1273	250929	733881
1274	251154	733766
1275	251356	733583
1276	251609	733550
1277	251797	733324
1278	252019	733201
1279	252219	733013
1280	252449	732911
1281	252669	732780
1282	252921	732741
1283	253150	732637
1284	253365	732492
1285	253597	732394
1286	253832	732308
1287	254103	732322
1288	254346	732258
1289	254580	732166
1290	254821	732092
1291	255029	731927
1292	255256	731812
1293	255485	731708
1294	255689	731528
1295	255922	731432
1296	256109	731206
1297	256319	731045
1298	256528	730877
1299	256728	730688
1300	256914	730458
1301	257133	730321
1302	257414	730362
1303	257636	730233
1304	257857	730102
1305	258083	729986
1306	258331	729928
1307	258587	729897
1308	258848	729878
1309	259041	729666
1310	259229	729440
1311	259405	729183
1312	259567	728885
1313	259749	728641
1314	259943	728434
1315	260177	728339
1316	260401	728213
1317	260618	728071
1318	260787	727791
1319	260969	727550
1320	261157	727326
1321	261351	727118
1322	261535	726883
1323	261720	726648
1324	261949	726538
1325	262148	726346
1326	262359	726184
1327	262577	726042
1328	262746	725764
1329	262959	725608
1330	263185	725488
1331	263385	725298
1332	263563	725046
1333	263758	724840
1334	263932	724578
1335	264152	724441
1336	264383	724336
1337	264586	724150
1338	264837	724098
1339	265049	723942
1340	265288	723856
1341	265510	723722
1342	265717	723550
1343	265906	723329
1344	266120	723174
1345	266316	722971
1346	266512	722768
1347	266687	722508
1348	266865	722256
1349	267036	721988
1350	267252	721839
1351	267495	721764
1352	267690	721558
1353	267873	721319
1354	268070	721120
1355	268278	720949
1356	268488	720784
1357	268715	720664
1358	268879	720374
1359	269050	720105
1360	269270	719966
1361	269469	719773
1362	269654	719540
1363	269840	719310
1364	270030	719090
1365	270202	718826
1366	270421	718685
1367	270616	718479
1368	270778	718186
1369	271015	718091
1370	271191	717836
1371	271397	717659
1372	271580	717424
1373	271770	717203
1374	271972	717018
1375	272151	716771
