iter	RMSE
1359	4.493772094
1360	4.493154553
1361	4.492621908
1362	4.492300073
1363	4.492195197
1364	4.49203602
1365	4.491882253
1366	4.491279189
1367	4.490982265
1368	4.490871542
1369	4.490474108
1370	4.490343731
1371	4.489543553
1372	4.489045951
1373	4.488851325
1374	4.488306145
1375	4.488057154
1376	4.487644567
1377	4.486827246
1378	4.486685179
1379	4.48645184
1380	4.486261345
1381	4.485807418
1382	4.485682395
1383	4.485577142
1384	4.48514545
1385	4.484700715
1386	4.48447685
1387	4.484337785
1388	4.483933764
1389	4.483551466
1390	4.48340892
1391	4.483048534
1392	4.482896891
1393	4.482772036
1394	4.482298473
1395	4.48180129
1396	4.481583908
1397	4.481425302
1398	4.481061371
1399	4.480908867
1400	4.480060532
1401	4.479934081
1402	4.479076756
1403	4.478947625
1404	4.478423098
1405	4.478103734
1406	4.477709347
1407	4.477629897
1408	4.477227412
1409	4.476631746
1410	4.476510623
1411	4.476398145
1412	4.475966797
1413	4.47585101
1414	4.475717101
1415	4.475611792
1416	4.475540603
1417	4.47526094
1418	4.474730933
1419	4.47452053
1420	4.474056468
1421	4.473573574
1422	4.473288145
1423	4.473191514
1424	4.472750425
1425	4.472325965
1426	4.47153541
1427	4.470817993
1428	4.470075174
1429	4.469620676
1430	4.469509406
1431	4.469365316
1432	4.46915569
1433	4.468774243
1434	4.468401823
1435	4.467974319
1436	4.467855897
1437	4.467081703
1438	4.466562632
1439	4.466376251
1440	4.465617127
1441	4.465513729
1442	4.465125913
1443	4.464865508
1444	4.464378303
1445	4.463975705
1446	4.463884347
1447	4.463375092
1448	4.462986177
1449	4.462874059
1450	4.462756021
1451	4.462448681
1452	4.462324034
1453	4.461935656
1454	4.461834288
1455	4.461425975
1456	4.460927236
1457	4.460731831
1458	4.460425881
1459	4.460190725
1460	4.459762262
1461	4.459670277
1462	4.458938507
1463	4.458587757
1464	4.4584977
1465	4.458140356
1466	4.457778052
1467	4.457262679
1468	4.456802464
1469	4.456714488
1470	4.456298826
1471	4.456044644
1472	4.455929857
1473	4.455857216
1474	4.45527187
1475	4.454873242
1476	4.454478635
1477	4.454342307
1478	4.453839645
1479	4.453487962
1480	4.45340126
1481	4.453219308
1482	4.45239492
1483	4.452300515
1484	4.452003764
1485	4.451857683
1486	4.451643283
1487	4.451264602
1488	4.451120404
1489	4.450622669
1490	4.450166994
1491	4.449762518
1492	4.449631844
1493	4.448912315
1494	4.448540819
1495	4.448040442
1496	4.447625452
1497	4.44718294
1498	4.446735224
1499	4.445990749
1500	4.445594698
1501	4.445510859
1502	4.445256742
1503	4.444869894
1504	4.444696908
1505	4.444438927
1506	4.443990625
1507	4.443763946
1508	4.443494466
1509	4.443215617
1510	4.443107893
1511	4.442776315
1512	4.442603698
1513	4.44232166
1514	4.441882051
1515	4.441407508
1516	4.440740097
1517	4.44025186
1518	4.439931389
1519	4.439556795
1520	4.439440723
1521	4.439236862
1522	4.438515198
1523	4.438137712
1524	4.437843442
1525	4.437671315
1526	4.437464659
1527	4.436751223
1528	4.436252186
1529	4.436083937
1530	4.435653535
1531	4.43527567
1532	4.434952286
1533	4.434811271
1534	4.434488768
1535	4.434218188
1536	4.434135293
1537	4.433435615
1538	4.433081136
1539	4.432938596
1540	4.432648154
1541	4.432320512
1542	4.431936381
1543	4.431542206
1544	4.431292614
1545	4.431209472
1546	4.431057766
1547	4.430796541
1548	4.430355055
1549	4.430200329
1550	4.429724237
1551	4.429581606
1552	4.429211484
1553	4.429013093
1554	4.428579447
1555	4.428304433
1556	4.428166193
1557	4.427752007
1558	4.427590103
1559	4.427221712
1560	4.42653488
1561	4.426247644
1562	4.425865173
1563	4.425414188
1564	4.425040767
1565	4.424966032
1566	4.424398572
1567	4.424198391
1568	4.423983316
1569	4.423645174
1570	4.423228055
1571	4.423106037
1572	4.422997075
1573	4.422802906
1574	4.422334591
1575	4.422184648
1576	4.421728445
1577	4.421460923
1578	4.421088725
1579	4.4209759
1580	4.42078468
1581	4.420105009
1582	4.419904153
1583	4.419662449
1584	4.419289796
1585	4.419017682
1586	4.418858385
1587	4.418161994
1588	4.41779861
1589	4.417562014
1590	4.417209763
1591	4.416862499
1592	4.416630489
1593	4.416495658
1594	4.416416593
1595	4.41628447
1596	4.415978245
1597	4.415695203
1598	4.41556295
1599	4.41490642
1600	4.414797955
1601	4.414362409
1602	4.414169128
1603	4.413958368
1604	4.413801755
1605	4.413710793
1606	4.413211207
1607	4.412868072
1608	4.412588065
1609	4.412485593
1610	4.412248463
1611	4.411782428
1612	4.411326071
1613	4.411055989
1614	4.410951256
1615	4.410779378
1616	4.41059284
1617	4.410214797
1618	4.410077154
1619	4.40965541
1620	4.409309299
1621	4.409055232
1622	4.408791361
1623	4.408440369
1624	4.408213768
1625	4.407559876
1626	4.407165047
1627	4.407062352
1628	4.406911287
1629	4.406636414
1630	4.406298161
1631	4.405784431
1632	4.405322475
1633	4.40493318
1634	4.404601264
1635	4.404472378
1636	4.403791165
1637	4.403388976
1638	4.403130418
1639	4.402973274
1640	4.40263184
1641	4.402377912
1642	4.401996266
1643	4.401672469
1644	4.401517859
1645	4.40122474
1646	4.401089933
1647	4.400860437
1648	4.400753005
1649	4.400213093
1650	4.39979431
1651	4.399413502
1652	4.399155164
1653	4.398511533
1654	4.3984079
1655	4.398079691
1656	4.397660614
1657	4.39751097
1658	4.397411152
1659	4.397189753
1660	4.397064397
